<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: part-04.csv>
72,477508 (2010 CK140),477508,2.444274545,3.15454869,2.799411617,0.126861327,8.765810179,70.71164806,141.0410614,2460378.439,1.44352,1710.797346,4.683907859,3.297,Asteroid,MBA,N,N
73,188397 (2004 ET4),188397,2.144563985,2.516732259,2.330648122,0.079842227,6.157396193,172.5954801,63.73623147,2459776.033,1.14107,1299.611336,3.558141919,3.559,Asteroid,MBA,N,N
74,408298 (2013 GH20),408298,2.621819929,3.600310583,3.111065256,0.157259744,2.200502163,86.27910466,204.1218061,2460817.467,1.60513,2004.297146,5.487466517,3.199,Asteroid,MBA,N,N
75,511285 (2014 DS42),511285,2.95355908,3.112747738,3.033153409,0.026241445,17.21335509,158.8370671,48.01741054,2460768.085,1.97291,1929.478712,5.28262481,3.174,Asteroid,MBA,N,N
76,157931 (1999 VC149),157931,2.539046571,3.528762708,3.03390464,0.163109302,5.449735541,211.3720346,238.7194425,2459364.874,1.55946,1930.195577,5.284587479,3.215,Asteroid,MBA,N,N
77,407164 (2009 UK29),407164,2.458683626,3.754739441,3.106711533,0.208589662,2.885248542,214.8865237,185.6523042,2461136.279,1.46591,2000.091303,5.475951548,3.184,Asteroid,MBA,N,N
78,614025 (2008 RB24),614025,2.048390454,4.107651669,3.078021061,0.334510579,8.968725557,311.4863072,58.75806244,2460679.809,1.0635,1972.449113,5.400271356,3.122,Asteroid,MBA,N,N
79,314222 (2005 NT123),314222,2.241097463,3.152906446,2.697001955,0.169041217,10.922115,315.5670472,349.8950558,2460010.166,1.22653,1617.783191,4.429248983,3.323,Asteroid,MBA,N,N
80, 11080 (1993 FO),11080,2.482054522,3.582518074,3.032286298,0.181457726,1.191858288,191.7747088,130.0649055,2459389.826,1.46911,1928.651379,5.280359696,3.217,Asteroid,MBA,N,N
81,599112 (2009 SJ207),599112,2.953105754,3.337610183,3.145357969,0.061122523,24.2641301,192.3258219,11.0733707,2460288.073,1.95255,2037.527811,5.578447122,3.069,Asteroid,MBA,N,N
